feature,importance
accel_mean,19.084973768705837
speed_mean,14.60458373272876
stops_count,14.017365083417062
speed_std,13.548039747689206
cell_id,11.917413146467403
accel_std,9.829229178356195
period,9.17706284323224
jerk_abs_mean,6.537293293620195
network_rcvdSinrDl_avg,0.23391260571482658
network_harqErrorRateUl_avg,0.10683494213661185
network_cbrFrameDelay_avg,0.09514130364289086
network_averageCqiDl_avg,0.09405399315829022
network_macCellThroughputDl_avg,0.08545414905648428
network_rcvdSinrUl_avg,0.07957431570650703
network_harqErrorRateDl_avg,0.0775894713726951
policy,0.07427785392901855
network_macDelayUl_avg,0.061692468078133327
network_rlcCellThroughputDl_avg,0.055488519895792975
network_rlcCellThroughputUl_avg,0.05510786638419414
network_averageCqiUl_avg,0.044281674585455726
network_macDelayDl_avg,0.042948475462512556
network_macCellThroughputUl_avg,0.04261827125004672
network_avgServedBlocksDl_avg,0.04044776257718219
network_macThroughputUl_avg,0.039022569623530665
network_macThroughputDl_avg,0.036234786657902994
network_avgServedBlocksUl_avg,0.019358176550957104
network_macPacketLossUl_avg,0.0
network_measuredSinrUl_avg,0.0
network_measuredSinrDl_avg,0.0
network_cbrGeneratedThroughput_avg,0.0
network_cbrReceivedThroughput_avg,0.0
network_macCellPacketLossUl_avg,0.0
network_macCellPacketLossDl_avg,0.0
network_macPacketLossDl_avg,0.0
network_cbrFrameLoss_avg,0.0
network_rlcPacketLossUl_avg,0.0
network_rlcPacketLossDl_avg,0.0
